,temp,rain,humidity,sunshine,datetime
332,2.2,0.0,72,0.0,2019-01-15 02:00:00
333,1.9,0.0,72,0.0,2019-01-15 03:00:00
334,1.2,0.0,75,0.0,2019-01-15 04:00:00
335,0.3,0.0,81,0.0,2019-01-15 05:00:00
336,-0.8,0.0,83,0.0,2019-01-15 06:00:00
337,-1.5,0.0,81,0.0,2019-01-15 07:00:00
338,-1.9,0.0,79,0.0,2019-01-15 08:00:00
339,-1.5,0.0,74,0.0,2019-01-15 09:00:00
340,-0.7,0.0,69,0.0,2019-01-15 10:00:00
341,0.1,0.0,62,0.5,2019-01-15 11:00:00
342,0.0,0.0,64,0.1,2019-01-15 12:00:00
343,0.4,0.0,61,0.0,2019-01-15 13:00:00
344,1.6,0.0,49,0.9,2019-01-15 14:00:00
345,2.6,0.0,40,1.0,2019-01-15 15:00:00
346,1.1,0.0,31,1.0,2019-01-15 16:00:00
347,-1.0,0.0,43,1.0,2019-01-15 17:00:00
348,-2.8,0.0,34,0.2,2019-01-15 18:00:00
349,-3.9,0.0,43,0.0,2019-01-15 19:00:00
350,-5.3,0.0,47,0.0,2019-01-15 20:00:00
351,-6.2,0.0,51,0.0,2019-01-15 21:00:00
352,-6.5,0.0,51,0.0,2019-01-15 22:00:00
353,-6.8,0.0,51,0.0,2019-01-15 23:00:00
354,-7.1,0.0,52,0.0,2019-01-16 00:00:00
355,-7.3,0.0,52,0.0,2019-01-16 01:00:00
356,-7.7,0.0,53,0.0,2019-01-16 02:00:00
357,-8.1,0.0,50,0.0,2019-01-16 03:00:00
358,-8.8,0.0,53,0.0,2019-01-16 04:00:00
359,-9.3,0.0,51,0.0,2019-01-16 05:00:00
360,-9.4,0.0,50,0.0,2019-01-16 06:00:00
361,-9.8,0.0,51,0.0,2019-01-16 07:00:00
362,-9.8,0.0,49,0.0,2019-01-16 08:00:00
363,-9.1,0.0,46,0.4,2019-01-16 09:00:00
364,-7.2,0.0,41,0.9,2019-01-16 10:00:00
365,-5.3,0.0,34,1.0,2019-01-16 11:00:00
366,-4.6,0.0,32,1.0,2019-01-16 12:00:00
367,-4.0,0.0,28,1.0,2019-01-16 13:00:00
368,-2.7,0.0,19,1.0,2019-01-16 14:00:00
369,-1.9,0.0,21,1.0,2019-01-16 15:00:00
370,-1.7,0.0,25,1.0,2019-01-16 16:00:00
371,-1.9,0.0,29,1.0,2019-01-16 17:00:00
372,-3.2,0.0,33,0.3,2019-01-16 18:00:00
373,-3.3,0.0,37,0.0,2019-01-16 19:00:00
374,-3.1,0.0,41,0.0,2019-01-16 20:00:00
375,-3.1,0.0,55,0.0,2019-01-16 21:00:00
376,-2.9,0.0,61,0.0,2019-01-16 22:00:00
377,-2.8,0.0,67,0.0,2019-01-16 23:00:00
378,-2.6,0.0,80,0.0,2019-01-17 00:00:00
379,-2.4,0.0,80,0.0,2019-01-17 01:00:00
380,-2.4,0.0,78,0.0,2019-01-17 02:00:00
381,-2.2,0.0,78,0.0,2019-01-17 03:00:00
382,-2.1,0.0,77,0.0,2019-01-17 04:00:00
383,-2.2,0.0,78,0.0,2019-01-17 05:00:00
384,-2.1,0.0,71,0.0,2019-01-17 06:00:00
385,-2.7,0.0,75,0.0,2019-01-17 07:00:00
386,-3.1,0.0,74,0.0,2019-01-17 08:00:00
387,-2.3,0.0,66,0.4,2019-01-17 09:00:00
388,-0.7,0.0,56,1.0,2019-01-17 10:00:00
389,0.7,0.0,39,1.0,2019-01-17 11:00:00
390,1.8,0.0,27,1.0,2019-01-17 12:00:00
391,2.4,0.0,21,1.0,2019-01-17 13:00:00
392,3.2,0.0,19,1.0,2019-01-17 14:00:00
393,3.3,0.0,20,1.0,2019-01-17 15:00:00
394,4.0,0.0,20,1.0,2019-01-17 16:00:00
395,3.0,0.0,22,1.0,2019-01-17 17:00:00
396,1.6,0.0,27,0.3,2019-01-17 18:00:00
397,0.7,0.0,31,0.0,2019-01-17 19:00:00
398,0.1,0.0,39,0.0,2019-01-17 20:00:00
399,-0.7,0.0,42,0.0,2019-01-17 21:00:00
400,-1.5,0.0,40,0.0,2019-01-17 22:00:00
401,-1.8,0.0,34,0.0,2019-01-17 23:00:00
402,-2.1,0.0,35,0.0,2019-01-18 00:00:00
403,-2.6,0.0,35,0.0,2019-01-18 01:00:00
404,-3.0,0.0,35,0.0,2019-01-18 02:00:00
405,-3.1,0.0,34,0.0,2019-01-18 03:00:00
406,-3.6,0.0,34,0.0,2019-01-18 04:00:00
407,-4.0,0.0,41,0.0,2019-01-18 05:00:00
408,-4.3,0.0,42,0.0,2019-01-18 06:00:00
409,-4.3,0.0,42,0.0,2019-01-18 07:00:00
410,-4.6,0.0,44,0.0,2019-01-18 08:00:00
411,-3.9,0.0,39,0.6,2019-01-18 09:00:00
412,-1.4,0.0,35,1.0,2019-01-18 10:00:00
413,1.8,0.0,30,1.0,2019-01-18 11:00:00
414,4.3,0.0,26,1.0,2019-01-18 12:00:00
415,5.3,0.0,23,1.0,2019-01-18 13:00:00
416,6.1,0.0,31,1.0,2019-01-18 14:00:00
417,6.5,0.0,33,1.0,2019-01-18 15:00:00
418,5.8,0.0,37,1.0,2019-01-18 16:00:00
419,4.5,0.0,45,0.9,2019-01-18 17:00:00
420,3.0,0.0,51,0.0,2019-01-18 18:00:00
421,2.2,0.0,55,0.0,2019-01-18 19:00:00
422,1.7,0.0,58,0.0,2019-01-18 20:00:00
423,1.5,0.0,60,0.0,2019-01-18 21:00:00
424,1.4,0.0,63,0.0,2019-01-18 22:00:00
425,0.9,0.0,64,0.0,2019-01-18 23:00:00
426,0.4,0.0,67,0.0,2019-01-19 00:00:00
427,0.5,0.0,64,0.0,2019-01-19 01:00:00
428,0.5,0.0,64,0.0,2019-01-19 02:00:00
429,0.2,0.0,63,0.0,2019-01-19 03:00:00
430,0.1,0.0,63,0.0,2019-01-19 04:00:00
431,0.1,0.0,64,0.0,2019-01-19 05:00:00
432,0.2,0.0,64,0.0,2019-01-19 06:00:00
433,0.5,0.0,63,0.0,2019-01-19 07:00:00
434,0.6,0.0,62,0.0,2019-01-19 08:00:00
435,1.4,0.0,58,0.0,2019-01-19 09:00:00
436,2.7,0.0,53,0.0,2019-01-19 10:00:00
437,3.6,0.0,52,0.0,2019-01-19 11:00:00
438,5.0,0.0,50,0.0,2019-01-19 12:00:00
439,6.3,0.0,51,0.2,2019-01-19 13:00:00
440,7.6,0.0,51,0.8,2019-01-19 14:00:00
441,8.1,0.0,48,0.7,2019-01-19 15:00:00
442,7.7,0.0,47,0.3,2019-01-19 16:00:00
443,7.7,0.0,48,0.8,2019-01-19 17:00:00
444,5.9,0.0,57,0.1,2019-01-19 18:00:00
445,4.7,0.0,62,0.0,2019-01-19 19:00:00
446,3.9,0.0,66,0.0,2019-01-19 20:00:00
447,3.9,0.0,66,0.0,2019-01-19 21:00:00
448,4.1,0.0,67,0.0,2019-01-19 22:00:00
449,4.3,0.0,67,0.0,2019-01-19 23:00:00
450,3.9,0.0,72,0.0,2019-01-20 00:00:00
451,3.6,0.0,76,0.0,2019-01-20 01:00:00
452,2.7,0.0,77,0.0,2019-01-20 02:00:00
453,2.0,0.0,78,0.0,2019-01-20 03:00:00
454,1.2,0.0,68,0.0,2019-01-20 04:00:00
455,0.2,0.0,54,0.0,2019-01-20 05:00:00
456,-0.8,0.0,47,0.0,2019-01-20 06:00:00
